"Name","PipeSize","PipeSize1","Schedule","L","N","Approx. Wt.","PID","PID1","POD1"
"437-052","3/8""","1/4""",40,"31/32 in","5/16 in",".01 lb","0.473 in","0.344 in","0.540 in"
"437-072","1/2""","1/4""",40,"1+3/32 in","13/32 in",".02 lb","0.602 in","0.344 in","0.540 in"
"437-073","1/2""","3/8""",40,"7/8 in","3/8 in",".02 lb","0.602 in","0.473 in","0.675 in"
"437-101","3/4""","1/2""",40,"1+1/16 in","9/32 in",".02 lb","0.804 in","0.602 in","0.840 in"
"437-130","1""","1/2""",40,"1+1/4 in","15/32 in",".05 lb","1.029 in","0.602 in","0.840 in"
"437-131","1""","3/4""",40,"1+1/4 in","5/16 in",".03 lb","1.029 in","0.804 in","1.050 in"
"437-166","1-1/4""","1/2""",40,"1+13/32 in","21/32 in",".08 lb","1.360 in","0.602 in","0.840 in"
"437-167","1-1/4""","3/4""",40,"1+1/2 in","19/32 in",".09 lb","1.360 in","0.804 in","1.050 in"
"437-168","1-1/4""","1""",40,"1+1/2 in","7/16 in",".06 lb","1.360 in","1.029 in","1.315 in"
"437-209","1-1/2""","1/2""",40,"1+15/32 in","23/32 in",".11 lb","1.590 in","0.602 in","0.840 in"
"437-210","1-1/2""","3/4""",40,"1+7/16 in","7/16 in",".12 lb","1.590 in","0.804 in","1.050 in"
"437-211","1-1/2""","1""",40,"1+17/32 in","1/2 in",".12 lb","1.590 in","1.029 in","1.315 in"
"437-212","1-1/2""","1-1/4""",40,"1+17/32 in","9/32 in",".06 lb","1.590 in","1.360 in","1.660 in"
"437-247","2""","1/2""",40,"1+5/8 in","7/8 in",".17 lb","2.047 in","0.602 in","0.840 in"
"437-248","2""","3/4""",40,"1+9/16 in","9/16 in",".16 lb","2.047 in","0.804 in","1.050 in"
"437-249","2""","1""",40,"1+9/16 in","17/32 in",".17 lb","2.047 in","1.029 in","1.315 in"
"437-250","2""","1-1/4""",40,"1+19/32 in","11/32 in",".18 lb","2.047 in","1.360 in","1.660 in"
"437-251","2""","1-1/2""",40,"1+9/16 in","1/4 in",".13 lb","2.047 in","1.590 in","1.900 in"
"437-287","2-1/2""","1/2""",40,"2+1/4 in","1+7/16 in",".32 lb","2.445 in","0.602 in","0.840 in"
"437-288","2-1/2""","3/4""",40,"2+3/8 in","1+3/8 in",".33 lb","2.445 in","0.804 in","1.050 in"
"437-289","2-1/2""","1""",40,"2+1/32 in","29/32 in",".37 lb","2.445 in","1.029 in","1.315 in"
"437-290","2-1/2""","1-1/4""",40,"2+3/16 in","1+1/8 in",".37 lb","2.445 in","1.360 in","1.660 in"
"437-291","2-1/2""","1-1/2""",40,"2+5/32 in","1+3/16 in",".34 lb","2.445 in","1.590 in","1.900 in"
"437-292","2-1/2""","2""",40,"2+1/16 in","11/16 in",".23 lb","2.445 in","2.047 in","2.375 in"
"437-333","3""","1/2""",40,"2+13/32 in","1+5/8 in",".53 lb","3.042 in","0.602 in","0.840 in"
"437-334","3""","3/4""",40,"2+5/16 in","1+5/16 in",".49 lb","3.042 in","0.804 in","1.050 in"
"437-335","3""","1""",40,"2+7/32 in","1+1/4 in",".48 lb","3.042 in","1.029 in","1.315 in"
"437-336","3""","1-1/4""",40,"2+9/32 in","1+1/32 in",".49 lb","3.042 in","1.360 in","1.660 in"
"437-337","3""","1-1/2""",40,"2+9/32 in","31/32 in",".48 lb","3.042 in","1.590 in","1.900 in"
"437-338","3""","2""",40,"2+7/32 in","9/16 in",".47 lb","3.042 in","2.047 in","2.375 in"
"437-339","3""","2-1/2""",40,"2+7/32 in","7/16 in",".37 lb","3.042 in","2.445 in","2.875 in"
"437-417","4""","1""",40,"2+19/32 in","1+9/16 in","1.03 lb","3.998 in","1.029 in","1.315 in"
"437-418","4""","1-1/4""",40,"2+19/32 in","1+7/16 in","1.04 lb","3.998 in","1.360 in","1.660 in"
"437-419","4""","1-1/2""",40,"2+19/32 in","1+1/4 in",".99 lb","3.998 in","1.590 in","1.900 in"
"437-420","4""","2""",40,"2+13/32 in","1+1/32 in",".86 lb","3.998 in","2.047 in","2.375 in"
"437-421","4""","2-1/2""",40,"2+5/16 in","9/16 in",".75 lb","3.998 in","2.445 in","2.875 in"
"437-422","4""","3""",40,"2+11/32 in","15/32 in",".78 lb","3.998 in","3.042 in","3.500 in"
"437-486","5""","2""",40,"3+13/32 in","2+1/32 in","1.54 lb","5.016 in","2.047 in","2.375 in"
"437-488","5""","3""",40,"3+7/16 in","1+15/32 in","1.40 lb","5.016 in","3.042 in","3.500 in"
"437-490","5""","4""",40,"2+31/32 in","23/32 in","1.31 lb","5.016 in","3.998 in","4.500 in"
"437-528","6""","2""",40,"3+17/32 in","2+5/32 in","2.15 lb","6.031 in","2.047 in","2.375 in"
"437-530","6""","3""",40,"3+17/32 in","1+5/8 in","2.21 lb","6.031 in","3.042 in","3.500 in"
"437-532","6""","4""",40,"3+9/16 in","1+1/2 in","2.12 lb","6.031 in","3.998 in","4.500 in"
"437-534","6""","5""",40,"3+17/32 in","7/8 in","1.93 lb","6.031 in","5.016 in","5.563 in"
"437-578","8""","2""",40,"5 in","3+5/8 in","4.92 lb","7.942 in","2.047 in","2.375 in"
"437-580","8""","3""",40,"5+1/4 in","3+1/4 in","4.92 lb","7.942 in","3.042 in","3.500 in"
"437-582","8""","4""",40,"4+17/32 in","2+1/2 in","437+583 lb","7.942 in","3.998 in","4.500 in"
"437-585","8""","6""",40,"4+13/32 in","1+3/8 in","4.04 lb","7.942 in","6.031 in","6.625 in"
"437-621","10""","2""",40,"6 in","4 in","9.88 lb","9.976 in","2.047 in","2.375 in"
"437-623","10""","3""",40,"6 in","3+17/32 in","9.32 lb","9.976 in","3.042 in","3.500 in"
"437-624","10""","4""",40,"6 in","3+3/4 in","9.57 lb","9.976 in","3.998 in","4.500 in"
"437-626","10""","6""",40,"5+11/32 in","2+5/16 in","6.86 lb","9.976 in","6.031 in","6.625 in"
"437-628","10""","8""",40,"5+1132 in","1+5/16 in","7.02 lb","9.976 in","7.942 in","8.625 in"
"437-666","12""","6""",40,"6+11/16 in","3+3/4 in","13.96 lb","11.889 in","6.031 in","6.625 in"
"437-666F","12""","6""",40,"6+7/16 in","3+3/8 in","18.74 lb","11.889 in","6.031 in","6.625 in"
"437-668","12""","8""",40,"6+1/2 in","2+7/16 in","9.60 lb","11.889 in","7.942 in","8.625 in"
"437-670","12""","10""",40,"6+11/32 in","1+9/32 in","11.74 lb","11.889 in","9.976 in","10.750 in"
"437-670F","12""","10""",40,"6 in","1 in","11.32 lb","11.889 in","9.976 in","10.750 in"
"837-052","3/8""","1/4""",80,"31/32 in","5/16 in",".01 lb","0.403 in","0.282 in","0.540 in"
"837-072","1/2""","1/4""",80,"1+3/32 in","13/32 in",".02 lb","0.526 in","0.282 in","0.540 in"
