"Name","PipeSize","PipeSize1","Schedule","G","G1","G2","H","H1","H2","L","M","M1","Approx. Wt.","POD","PID","POD1","PID1"
"401-003","3/8""","3/8""",40,"3/8 in","3/8 in","3/8 in","1+1/8 in","1+1/8 in","1.125 in","2+1/4 in","31/32 in","31/32 in",".04 lb","0.675 in","0.473 in","0.675 in","0.473 in"
"401-005","1/2""","1/2""",40,"1/2 in","1/2 in","1/2 in","1+1/4 in","1+1/4 in","1.25 in","2+1/2 in","1+3/32 in","1+3/32 in",".06 lb","0.840 in","0.602 in","0.840 in","0.602 in"
"401-007","3/4""","3/4""",40,"9/16 in","9/16 in","9/16 in","1+9/16 in","1+9/16 in","1.5625 in","3+1/8 in","1+5/16 in","1+5/16 in",".10 lb","1.050 in","0.804 in","1.050 in","0.804 in"
"401-010","1""","1""",40,"11/16 in","11/16 in","11/16 in","1+3/4 in","1+3/4 in","1.75 in","3+1/2 in","1+5/8 in","1+5/8 in",".16 lb","1.315 in","1.029 in","1.315 in","1.029 in"
"401-012","1-1/4""","1-1/4""",40,"7/8 in","7/8 in","7/8 in","2+1/8 in","2+1/8 in","2.125 in","4+1/4 in","2 in","2 in",".25 lb","1.660 in","1.360 in","1.660 in","1.360 in"
"401-015","1-1/2""","1-1/2""",40,"1+1/16 in","1+1/16 in","1+1/16 in","2+3/8 in","2+3/8 in","2.375 in","4+3/4 in","2+1/4 in","2+1/4 in",".33 lb","1.900 in","1.590 in","1.900 in","1.590 in"
"401-020","2""","2""",40,"1+3/8 in","1+3/8 in","1+3/8 in","2+3/4 in","2+3/4 in","2.75 in","5+1/2 in","2+3/4 in","2+3/4 in",".51 lb","2.375 in","2.047 in","2.375 in","2.047 in"
"401-025","2-1/2""","2-1/2""",40,"1+21/32 in","1+21/32 in","1+21/32 in","3+13/32 in","3+13/32 in","3.40625 in","6+13/16 in","3+11/32 in","3+11/32 in","1.03 lb","2.875 in","2.445 in","2.875 in","2.445 in"
"401-030","3""","3""",40,"1+15/16 in","1+15/16 in","1+15/16 in","3+27/32 in","3+27/32 in","3.84375 in","7+11/16 in","4 in","4 in","1.43 lb","3.500 in","3.042 in","3.500 in","3.042 in"
"401-040","4""","4""",40,"2+13/32 in","2+13/32 in","2+13/32 in","4+7/16 in","4+7/16 in","4.4375 in","8+7/8 in","5+1/32 in","5+1/32 in","2.22 lb","4.500 in","3.998 in","4.500 in","3.998 in"
"401-050","5""","5""",40,"3 in","3 in","3 in","6 in","6 in","6 in","12 in","6+5/32 in","6+5/32 in","4.59 lb","5.563 in","5.016 in","5.563 in","5.016 in"
"401-060","6""","6""",40,"3+5/8 in","3+5/8 in","3+5/8 in","6+21/32 in","6+21/32 in","6.65625 in","13+5/16 in","7+9/32 in","7+9/32 in","6.00 lb","6.625 in","6.031 in","6.625 in","6.031 in"
"401-080","8""","8""",40,"4+1/2 in","4+1/2 in","4+1/2 in","8+17/32 in","8+17/32 in","8.53125 in","17+1/16 in","9+3/8 in","9+3/8 in","11.81 lb","8.625 in","7.942 in","8.625 in","7.942 in"
"401-100","10""","10""",40,"5+13/16 in","5+13/16 in","5+13/16 in","10+27/32 in","10+27/32 in","10.84375 in","21+11/16 in","11+21/32 in","11+21/32 in","24.25 lb","10.750 in","9.976 in","10.750 in","9.976 in"
"401-100F","10""","10""",40,"9+7/8 in","9+3/8 in","9+7/8 in","15+1/8 in","14+5/8 in","15.125 in","30+1/4 in","11+1/2 in","11+1/2 in","36.21 lb","10.750 in","9.976 in","10.750 in","9.976 in"
"401-120","12""","12""",40,"6+27/32 in","6+27/32 in","6+27/32 in","12+27/32 in","12+27/32 in","12.84375 in","25+11/16 in","13+3/4 in","13+3/4 in","37.94 lb","12.750 in","11.889 in","12.750 in","11.889 in"
"401-120F","12""","12""",40,"10+3/4 in","10+3/16 in","10+3/4 in","17 in","16+7/16 in","17 in","34 in","13+9/16 in","13+9/16 in","56.32 lb","12.750 in","11.889 in","12.750 in","11.889 in"
"801-002","1/4""","1/4""",80,"5/16 in","5/16 in","5/16 in","31/32 in","31/32 in","0.96875 in","1+15/16 in","27/32 in","27/32 in",".04 lb","0.540 in","0.282 in","0.540 in","0.282 in"
